subject,teacher,student_group,day_of_week,start_time,end_time,room
Math,Person A,9th grade,MONDAY,08:30,09:30,B
Physics,Person B,10th grade,MONDAY,09:30,10:30,B
Chemistry,Person C,9th grade,TUESDAY,08:30,09:30,A
Biology,Person D,9th grade,TUESDAY,09:30,10:30,B
History,Person E,10th grade,MONDAY,10:30,11:30,C
English,Person F,9th grade,TUESDAY,10:30,11:30,C
Spanish,Person G,9th grade,MONDAY,13:30,14:30,A
Math,Person H,10th grade,TUESDAY,13:30,14:30,B
Chemisty,Person I,10th grade,WEDNESDAY,14:00,15:00,C
Physics,Person J,9th grade,FRIDAY,12:15,13:15,B
